"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N331109413242",2015,"HIST","PPE","HIST",4.5,4.5,4,5,5,4.5,4,2
"N339112413213",2015,"LS",NA,"ANTH",4,4,3.5,4,3.5,5,5,2.5
"N378112402216",2015,"PS",NA,"PS",4,3.5,2,3.5,2,4,4,2
"N311112425217",2015,"LIT","PSY","ANTH",4,4.5,3.5,3.5,4,4,4,2.25
"N312112410220",2015,"LS","PSY","MCS",4.5,4,3.5,5,4.5,3.5,5,1.75
"N323113418280",2015,"ARTS HUM","LIT","ARTS HUM",3,3.5,2.5,3,2,4,3.5,1.5
"N325113413280",2015,"HIST","ARTS HUM","HIST",4,3,5,4.5,2.5,4.5,4,2
"N326113412280",2015,"PPE",NA,"HIST",4,5,3.5,5,4.5,5,3.5,1.75
"N327113410280",2015,"LS","PPE","ANTH",3,5,3,4,3.5,4,4,2.25
"N328113408280",2015,"PHIL","PSY","ARTS HUM",2.5,3.5,3,3,2,4,3.5,1.75
"N329113405280",2015,"HIST","ARTS HUM","HIST",4,4,3.5,4,3.5,5,3,1.75
"N330113423280",2015,"US","US","ECON",3,3,2.5,3.5,2.5,3.5,4,2.25
"N331113421280",2015,"GA",NA,"US",2.5,3.5,4.5,4,3.5,4.5,4.5,2.25
"N332113418280",2015,"GA","PPE","HIST",5,4,4,3.5,4,4.5,4,2.25
"N334113413280",2015,"ECON","LIT","US",4,4,3,4,3.5,4,4,1.75
"N335113412280",2015,"PHIL",NA,"LIT",3,5,3.5,4,3.5,4,3,1.5
"N337113408280",2015,"PSY","ES","PSY",3.5,4,3,4,3.5,4,4,2
"N340113421280",2015,"PSY","PPE","PSY",4.5,3.5,3.5,5,4,4,3.5,2
"N341113418280",2015,"LS",NA,"LS",4.5,4.5,3.5,4,4,4,4,2.25
"N342113414280",2015,"ANTH",NA,"ANTH",4,3.5,3,3.5,4,5,3,1.5
"N343113413280",2015,"PSY",NA,"LS",3.5,4.5,4.5,3.5,5,4.5,5,2.25
"N344113412280",2015,"PPE","ARTS HUM","HIST",4,4,2.5,3.5,3.5,5,3,2
"N345113410280",2015,"US","ARTS HUM","PSY",5,4.5,4,4,4,4,5.5,2.5
"N346113408280",2015,"GA","PPE","ANTH",3.5,3,3,3.5,2,4,2.5,1.5
"N347113405280",2015,"ECON","GA","PPE",4,4.5,3.5,4.5,3,4.5,4,2.25
"N348113401280",2015,"ECON","PPE","MCS",3,3.5,2,4,2.5,4,3.5,2.25
"N349113402280",2015,"GA","PPE","ECON",3.5,4,3.5,4.5,3.5,4,5,2.25
"N352113413280",2015,"LS","ANTH","ECON",4.5,3.5,4,4.5,4.5,4.5,4.5,2.5
"N353113412280",2015,"PHIL","LIT","US",3,3.5,2.5,3,3,4,3.5,2
"N354113410280",2015,"GA","ARTS HUM","HIST",4,4,3,3.5,3.5,4,4,2
"N355113408280",2015,"LS","ANTH","PSY",4,3,4,3.5,3,4.5,3,2
"N356113405280",2015,"ARTS HUM",NA,"LIT",3.5,4.5,4.5,4.5,3.5,3,5.5,2.75
"N358113402280",2015,"PSY","LS","PSY",4.5,3,4,3,4.5,5,3.5,2.5
"N359113425280",2015,"PPE","HIST","GA",3,4.5,3,4.5,2,4.5,3.5,1.75
"N360113414280",2015,"ARTS HUM","US","ARTS HUM",3,3.5,3.5,3.5,4.5,4.5,4,2
"N361113413280",2015,"HIST","GA","ES",3.5,5,3,4,3,4,3,1.75
"N362113412280",2015,"LIT","PSY","ANTH",3.5,4,3.5,4.5,3.5,4,4.5,1.75
"N363113410280",2015,"ARTS HUM","ECON","US",4.5,4.5,3,3,4,4,4.5,2
"N365113405280",2015,"PPE","GA","PHIL",5,4.5,4.5,5,3.5,4,4,1.75
"N367113402280",2015,"ECON","PPE","ECON",3.5,4,3,4.5,4.5,4,5,2.25
"N368113425280",2015,"PSY",NA,"PSY",3.5,3.5,3,4,3.5,4.5,4,2
"N369113424280",2015,"ARTS HUM","PSY","ARTS HUM",3,4,2.5,3,2,3.5,2.5,2.25
"N370113413280",2015,"HIST","LIT","HIST",3,4.5,3.5,4.5,3,4.5,5.5,2.5
"N371113412280",2015,"MCS",NA,"ECON",3.5,3,3.5,4,3,3.5,3.5,2
"N372113410280",2015,"PPE","HIST","PHIL",4,4.5,3,4,3,4.5,3.5,1.75
"N375113401280",2015,"PPE","GA","MCS",3.5,4,3.5,3.5,3.5,4,4,2.25
"N376113402280",2015,"ECON",NA,"US",3.5,3,4,4,3.5,4,4,2
"N377113425280",2015,"HIST","ANTH","HIST",3,3.5,3,3,3,4,3.5,1.75
"N378113424280",2015,"PS",NA,"ES",4.5,5,3,4,4.5,5,4,2.25
"N381113410280",2015,"LIT","ARTS HUM","LIT",3.5,4,2.5,4.5,3.5,4.5,3.5,1.75
"N383113405280",2015,"GA",NA,"US",3,4,3,4.5,4,3,3.5,1.75
"N384113401280",2015,"US","ANTH","US",3.5,4,3,4,2.5,4,3.5,2
"N385113402280",2015,"ARTS HUM","PPE","ANTH",3.5,3.5,3.5,4.5,3.5,4.5,3.5,1.75
"N386113425280",2015,"ARTS HUM","ES","ES",4.5,4.5,4,4.5,3.5,5,4,2
"N306113410283",2015,"PS",NA,"MCS",4.5,4.5,4,5,5,5,4.5,2.25
"N307113408283",2015,"LS",NA,"LS",4,4,4,4.5,3.5,4,3.5,2.25
"N308113405283",2015,"ECON","ARTS HUM","ECON",4,4,4.5,4,5,4.5,4,2.5
"N309113401283",2015,"PPE",NA,"PPE",3.5,4.5,3,4,3,4,4,2
"N310113421283",2015,"GA","PPE","ANTH",4,3.5,3,4,2,4,3.5,2
"N311113418283",2015,"PPE",NA,"GA",2.5,4,3.5,4.5,3,4,4,2
"N313113413283",2015,"LIT",NA,"ARTS HUM",3.5,4,3,4,3,3.5,3.5,1.75
"N314113412283",2015,"MCS",NA,"ECON",5,4,4,4,4,4.5,5,1.75
"N315113410283",2015,"PPE",NA,"ES",4.5,4,3.5,3,3,5,3,2
"N365113414288",2015,"LIT","ARTS HUM","HIST",3.5,5,3.5,4.5,4.5,4.5,4,2
"N366113413288",2015,"ARTS HUM","PSY","ARTS HUM",4,4.5,3.5,4,3.5,4.5,3,2
"N367113412288",2015,"GA","PSY","MCS",3,3,3,3.5,3.5,4,4.5,2
"N368113410288",2015,"PSY","ANTH","MCS",3.5,4,4,4.5,4,4.5,4,2.25
"N369113408288",2015,"PSY","MCS","MCS",3.5,4.5,3.5,4.5,3.5,4.5,5,2.25
"N371113423288",2015,"GA","PPE","PPE",4,4.5,3.5,5,2,4,4,2.25
"N372113421288",2015,"LS",NA,"LS",3.5,4.5,3.5,3.5,4,4,3.5,2.5
"N373113418288",2015,"PPE","GA","PPE",4,4.5,4.5,5,3.5,4.5,4,1.75
"N374113414288",2015,"ARTS HUM","LIT","GA",4.5,4,4,4.5,3,4.5,5,2.25
"N375113413288",2015,"GA","ANTH","ES",3.5,4.5,3,3.5,3.5,3.5,3.5,1.75
"N376113412288",2015,"PPE",NA,"US",3,4,4,4,4,3.5,5,1.75
"N378113408288",2015,"ECON",NA,"MCS",4,4,3.5,3,3.5,4,3,2
"N379113405288",2015,"PS",NA,"PS",4,4.5,2.5,3,3.5,4,3.5,2.25
"N381113421288",2015,"ES","PSY","ES",5,3,2.5,2.5,3,4,3,1.5
"N382113418288",2015,"GA","PPE","PPE",3.5,4.5,4,4.5,4.5,4,3.5,2
"N318113401292",2015,"LIT","PPE","LIT",3.5,4,3.5,4.5,4.5,4,4,2.25
"N359114412201",2015,"ES",NA,"ES",3,5,4,4.5,3.5,3.5,4,2.25
"N360114402201",2015,"PSY","LS","ARTS HUM",4.5,2.5,3,3.5,2.5,4,3,1.75
"N361114425201",2015,"ES",NA,"PS",4.5,4,4,4,5,4,5,2.5
"N362114424201",2015,"GA","ES","PS",3,4,3.5,3.5,3.5,3.5,3,2.25
"N364114421201",2015,"PSY",NA,"ARTS HUM",3.5,3.5,2,3.5,3,4,3,1.75
"N365114418201",2015,"LS","PS","MCS",4.5,5,4,5,4.5,5,5.5,2.75
"N366114414201",2015,"ARTS HUM","PSY","ANTH",3,3.5,2.5,3.5,4,4,2.5,1.5
"N367114413201",2015,"GA","ARTS HUM","US",5,5,4,4,4.5,5,4.5,2.5
"N368114412201",2015,"ECON","GA","PPE",3,3,3.5,3.5,3.5,4,2,1.75
"N369114410201",2015,"PPE","GA","PHIL",4.5,4.5,3.5,4.5,3,4.5,4,2.25
"N370114425201",2015,"PSY","ARTS HUM","PSY",4,4,3.5,4.5,4,4,5,2
"N371114424201",2015,"GA","LIT","PS",4.5,4.5,4,3,4,3.5,2.5,2
"N373114421201",2015,"MCS",NA,"MCS",3.5,3.5,3,4,4,4.5,4.5,2
"N374114418201",2015,"ARTS HUM","GA","ARTS HUM",4.5,3,3,4,3.5,4,3,1.75
"N360114425211",2015,"PPE","LIT","US",3,3,2.5,3.5,3.5,3.5,3.5,2.25
"N361114424211",2015,"GA","PPE","HIST",3,3.5,2.5,4,2,3.5,2,1.25
